Index,Channel,City_Town,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
104,Retail,Dammam,"$6,006.00 ",1109,"$18,881.00 ","$1,159.00 ",7425,2098
105,Retail,Khobar,"$7,362.00 ",1284,"$18,683.00 ","$2,854.00 ",7883,553
106,Retail,Makkah,"$2,599.00 ",369,"$13,829.00 ",$492.00 ,10069,59
107,Hotels,Dammam,"$16,225.00 ",183,"$1,765.00 ",$853.00 ,170,1067
108,Hotels,Dhahran,$140.00 ,885,"$3,823.00 ",$142.00 ,1062,3
109,Retail,Dammam,"$11,519.00 ",615,"$10,868.00 ",$584.00 ,5121,1476
110,Hotels,Khobar,"$1,982.00 ",322,"$1,493.00 ","$1,541.00 ",356,1449
111,Retail,Khobar,"$26,373.00 ",3642,"$22,019.00 ","$5,154.00 ",4337,16523
112,Retail,Dhahran,"$11,594.00 ",778,"$12,144.00 ","$3,252.00 ",8035,3029
113,Hotels,Qaseem,"$24,929.00 ",180,"$2,475.00 ","$2,216.00 ",412,1047
114,Retail,Dhahran,$834.00 ,1158,"$11,522.00 ",$275.00 ,4027,1856
115,Hotels,Dhahran,$403.00 ,25,$610.00 ,$774.00 ,54,63
116,Retail,Qaseem,"$1,107.00 ",1171,"$23,596.00 ",$955.00 ,9265,710
117,Hotels,Dhahran,"$27,329.00 ",145,"$1,947.00 ","$2,436.00 ",204,1333
118,Retail,Dhahran,"$44,466.00 ",5426,"$55,571.00 ","$7,782.00 ",24171,6465
119,Hotels,Khobar,"$17,623.00 ",428,"$7,305.00 ","$2,279.00 ",960,2616
120,Retail,Dhahran,"$5,417.00 ",993,"$10,487.00 ",$38.00 ,7572,1282
121,Hotels,Dammam,"$13,537.00 ",426,"$5,034.00 ",$155.00 ,249,3271
122,Hotels,Hail,"$30,624.00 ",721,"$4,897.00 ","$18,711.00 ",763,2876
123,Hotels,Riyadh,"$6,623.00 ",186,"$4,740.00 ","$7,683.00 ",205,1693
124,Hotels,Hail,"$5,041.00 ",112,"$2,856.00 ","$7,496.00 ",256,375
125,Retail,Dhahran,"$4,692.00 ",613,"$8,025.00 ","$1,619.00 ",4515,3105
126,Hotels,Hail,"$22,096.00 ",358,"$7,041.00 ","$11,422.00 ",343,2564
127,Hotels,Hail,"$4,042.00 ",220,"$1,563.00 ","$2,286.00 ",263,689
128,Hotels,Dammam,"$17,770.00 ",459,"$1,617.00 ","$9,927.00 ",246,532
129,Hotels,Dhahran,"$2,708.00 ",216,"$2,642.00 ",$502.00 ,965,1522
130,Retail,Dhahran,"$5,981.00 ",1464,"$20,521.00 ","$2,005.00 ",12218,445
131,Hotels,Dhahran,"$20,049.00 ",189,"$2,362.00 ","$5,343.00 ",411,933
132,Hotels,Dammam,"$12,434.00 ",54,$283.00 ,"$1,092.00 ",3,2233
133,Hotels,Dammam,"$11,818.00 ",165,"$1,694.00 ","$2,276.00 ",169,1647
134,Retail,Dammam,"$16,980.00 ",288,"$12,232.00 ",$874.00 ,3213,249
135,Hotels,Dammam,"$3,043.00 ",117,"$1,763.00 ","$2,234.00 ",217,379
136,Hotels,Dammam,"$24,025.00 ",433,"$4,757.00 ","$9,510.00 ",1145,5864
137,Hotels,Dammam,"$18,827.00 ",368,"$1,988.00 ",$118.00 ,516,201
138,Retail,Qaseem,"$20,782.00 ",592,"$9,212.00 ","$1,759.00 ",2568,1553
139,Hotels,Riyadh,"$15,218.00 ",26,"$1,138.00 ","$2,516.00 ",333,204
140,Hotels,Qaseem,"$7,274.00 ",66,"$1,499.00 ",$784.00 ,70,659
141,,,"$36,817.00 ",305,"$1,493.00 ","$4,802.00 ",210,1824
142,Retail,Dhahran,"$1,531.00 ",840,"$6,981.00 ",$247.00 ,2505,1236
143,Hotels,Dhahran,"$8,861.00 ",378,"$2,223.00 ",$633.00 ,1580,1521
144,Hotels,Qaseem,"$3,191.00 ",199,"$1,799.00 ","$1,730.00 ",234,710
145,Retail,Dammam,"$15,076.00 ",626,"$7,398.00 ","$1,504.00 ",1916,3113
146,Retail,Tabuk,"$8,090.00 ",320,"$6,986.00 ","$1,455.00 ",3712,531
147,Hotels,Khobar,$759.00 ,1866,"$1,660.00 ","$6,114.00 ",536,4100
148,Hotels,Dammam,"$13,779.00 ",197,"$1,648.00 ",$596.00 ,227,436
149,Retail,Khobar,"$10,850.00 ",756,"$14,961.00 ",$188.00 ,6899,46
150,Retail,Khobar,"$7,579.00 ",496,"$9,426.00 ","$1,669.00 ",3321,2566
151,Retail,Khobar,"$2,320.00 ",576,"$11,238.00 ",$767.00 ,5162,2158
152,Hotels,Khobar,"$7,107.00 ",101,"$2,974.00 ",$806.00 ,355,1142
153,Hotels,Khobar,"$6,269.00 ",110,"$1,980.00 ","$3,860.00 ",609,2162
154,Hotels,Riyadh,"$11,092.00 ",501,"$5,249.00 ",$453.00 ,392,373
155,Hotels,Dammam,"$19,746.00 ",287,"$2,006.00 ","$2,601.00 ",468,503
156,Hotels,Dhahran,"$6,338.00 ",226,"$1,668.00 ","$1,492.00 ",311,686
157,Hotels,Khobar,"$17,160.00 ",120,"$3,412.00 ","$2,417.00 ",174,1136
158,Hotels,Dammam,$9.00 ,153,"$7,417.00 ",$175.00 ,3468,27
159,,,"$2,647.00 ",276,"$2,313.00 ",$907.00 ,95,1827
160,Hotels,Dammam,"$14,903.00 ",203,"$2,479.00 ",$576.00 ,955,328
161,Export,Dhahran,"$8,257.00 ",92,"$1,031.00 ",3415,1784,447
162,Hotels,Tabuk,"$7,034.00 ",149,"$2,405.00 ","$12,569.00 ",299,1117
163,Retail,Khobar,"$31,714.00 ",1232,"$11,757.00 ",$287.00 ,3881,2931
164,,,"$36,847.00 ",4395,"$20,170.00 ","$36,534.00 ",239,47943
165,Retail,Dhahran,"$14,531.00 ",1549,"$30,243.00 ",$437.00 ,14841,1867
166,,,"$3,157.00 ",489,"$2,500.00 ","$4,477.00 ",273,2165
167,Retail,Dhahran,$381.00 ,403,"$9,670.00 ",$388.00 ,7271,1371
168,Hotels,Madinah,"$1,774.00 ",370,"$2,280.00 ",$514.00 ,275,834
169,Export,Dhahran,"$5,841.00 ",145,"$1,162.00 ",$597.00 ,476,70
170,Hotels,Qaseem,"$18,567.00 ",190,"$1,393.00 ","$1,801.00 ",244,2100
171,Hotels,Dammam,"$3,463.00 ",925,"$2,368.00 ",$779.00 ,302,1627
172,,,$680.00 ,161,$223.00 ,$862.00 ,96,379
173,Hotels,Hail,"$13,569.00 ",35,$489.00 ,"$2,077.00 ",44,659
174,Hotels,Khobar,"$7,149.00 ",243,$699.00 ,"$6,316.00 ",395,911
175,Retail,Hail,$18.00 ,750,"$15,205.00 ","$1,285.00 ",4797,6372
176,Hotels,Dammam,"$7,005.00 ",83,"$3,009.00 ",$430.00 ,610,529
177,,,"$1,502.00 ",198,"$2,262.00 ",$425.00 ,483,395
178,,,$327.00 ,92,"$4,710.00 ",$74.00 ,334,11
179,Hotels,Riyadh,"$8,885.00 ",243,"$1,777.00 ","$1,777.00 ",430,610
180,Retail,Khobar,"$1,210.00 ",1004,"$22,294.00 ","$1,741.00 ",12638,3137
181,Hotels,Riyadh,"$25,962.00 ",178,"$3,838.00 ",$638.00 ,284,834
182,Hotels,Dhahran,"$15,354.00 ",210,"$2,828.00 ","$8,366.00 ",386,1027
183,Retail,Khobar,"$22,925.00 ",7350,"$32,114.00 ",$987.00 ,20070,903
184,Retail,Hail,"$3,067.00 ",1324,"$23,127.00 ","$3,941.00 ",9959,731
185,Retail,Dhahran,"$12,126.00 ",320,"$6,975.00 ",$480.00 ,3140,545
186,Hotels,Khobar,"$1,198.00 ",260,"$8,335.00 ",$402.00 ,3843,303
187,Hotels,Qaseem,"$5,909.00 ",2353,"$13,699.00 ","$10,155.00 ",830,3636
188,Hotels,Hail,"$3,317.00 ",660,"$6,861.00 ","$1,329.00 ",3961,1215
189,Retail,Dammam,"$21,465.00 ",724,"$10,685.00 ",$880.00 ,2386,2749
190,Hotels,Dammam,"$9,434.00 ",104,"$1,235.00 ",$436.00 ,256,396
191,Retail,Dammam,"$16,165.00 ",423,"$7,595.00 ",$201.00 ,4003,57
192,Hotels,Khobar,"$4,420.00 ",514,"$2,661.00 ","$8,872.00 ",1321,181
193,Hotels,Riyadh,"$12,680.00 ",324,"$4,157.00 ",$660.00 ,761,786
194,Hotels,Dammam,"$11,535.00 ",167,"$1,428.00 ","$6,838.00 ",64,743
195,Retail,Khobar,"$35,942.00 ",3837,"$59,598.00 ","$3,254.00 ",26701,2017
196,,,"$12,759.00 ",733,"$4,533.00 ","$1,752.00 ",20,2631
197,Retail,Hail,"$11,908.00 ",805,"$19,847.00 ","$1,069.00 ",6374,698
198,Hotels,Khobar,"$38,793.00 ",315,"$2,648.00 ","$1,034.00 ",96,1242
199,Hotels,Dammam,"$13,134.00 ",935,"$14,316.00 ","$3,141.00 ",5079,1894
200,Hotels,Qaseem,"$8,656.00 ",275,"$2,501.00 ","$6,845.00 ",694,980
201,Hotels,Hail,"$1,537.00 ",375,"$5,838.00 ","$1,859.00 ",3381,806
202,Hotels,Makkah,"$15,881.00 ",71,"$3,315.00 ","$3,703.00 ",1470,229
203,Retail,Dammam,"$4,822.00 ",672,"$9,170.00 ",$993.00 ,4973,3637
204,Hotels,Dammam,"$10,766.00 ",118,"$2,067.00 ","$2,096.00 ",301,167
205,Retail,Khobar,"$19,899.00 ",533,"$8,713.00 ","$8,132.00 ",764,648
206,,,"$112,151.00 ",2963,"$18,148.00 ","$16,745.00 ",4948,8550
207,Hotels,Tabuk,"$7,127.00 ",138,"$2,201.00 ","$2,679.00 ",83,1059
208,Hotels,Dammam,"$10,405.00 ",160,"$1,096.00 ","$8,425.00 ",399,318
209,Retail,Dammam,"$3,136.00 ",863,"$13,586.00 ","$5,641.00 ",4666,1426
210,Export,Dammam,"$25,066.00 ",136,$633.00 ,1580,1521,468
211,Retail,Khobar,"$5,181.00 ",2204,"$21,531.00 ","$1,740.00 ",7353,4985
212,Hotels,Tabuk,"$13,970.00 ",151,"$1,330.00 ",$650.00 ,146,778
213,Hotels,Riyadh,"$31,614.00 ",49,"$1,495.00 ","$3,242.00 ",111,615
214,Hotels,Madinah,"$22,321.00 ",322,"$1,447.00 ","$2,208.00 ",178,2602
215,Hotels,Dhahran,"$9,203.00 ",337,"$2,707.00 ","$1,286.00 ",1082,526
216,Hotels,Dhahran,"$3,047.00 ",597,"$4,910.00 ","$2,198.00 ",850,317
217,Hotels,Dammam,"$13,624.00 ",30,"$1,381.00 ",$890.00 ,43,84
218,Hotels,Riyadh,"$4,720.00 ",103,$975.00 ,"$5,500.00 ",197,56
219,Retail,Dammam,"$2,861.00 ",657,"$9,618.00 ",$930.00 ,4004,1682
220,Export,Dammam,"$3,136.00 ",863,"$13,586.00 ","$5,641.00 ",4666,1426
221,,,"$9,785.00 ",85,"$1,172.00 ","$1,677.00 ",200,406
222,Hotels,Dhahran,"$4,983.00 ",486,"$6,633.00 ","$17,866.00 ",912,2435
223,Hotels,Tabuk,"$11,800.00 ",271,"$3,558.00 ","$2,121.00 ",706,51
224,Hotels,Makkah,"$1,182.00 ",309,"$6,114.00 ",$978.00 ,821,1637
225,Retail,Dammam,"$7,823.00 ",625,"$6,544.00 ","$4,154.00 ",4074,964
226,Hotels,Khobar,"$11,314.00 ",309,"$2,062.00 ","$35,009.00 ",71,2698
227,Hotels,Hail,"$20,893.00 ",122,"$2,576.00 ","$3,975.00 ",737,3628
228,Hotels,Khobar,"$5,509.00 ",146,"$2,251.00 ",$547.00 ,187,409
229,Hotels,Dhahran,"$5,387.00 ",498,"$3,343.00 ",$825.00 ,637,929
230,Retail,Qaseem,"$5,550.00 ",1273,"$16,767.00 ",$864.00 ,12420,797
231,Hotels,Dhahran,"$20,398.00 ",114,$3.00 ,"$4,407.00 ",3,975
232,Hotels,Hail,$514.00 ,832,"$6,869.00 ",$529.00 ,93,1040
233,,,"$1,206.00 ",362,"$2,857.00 ","$1,945.00 ",353,967
234,Retail,Dhahran,"$4,515.00 ",1199,"$9,345.00 ","$2,644.00 ",3378,2213
235,,,"$21,632.00 ",132,"$2,886.00 ",$266.00 ,918,405
236,Retail,Makkah,"$1,479.00 ",1498,"$11,924.00 ",$662.00 ,3891,3508
237,Hotels,Madinah,"$2,617.00 ",119,"$5,332.00 ","$9,584.00 ",573,1942
238,Retail,Dammam,"$8,797.00 ",1065,"$14,886.00 ","$2,471.00 ",8969,1438
239,Retail,Dammam,"$11,867.00 ",333,"$4,814.00 ","$1,178.00 ",3837,120
240,Hotels,Dammam,"$1,289.00 ",333,"$2,022.00 ",$531.00 ,255,1774
241,Hotels,Hail,"$1,838.00 ",638,"$2,824.00 ","$1,218.00 ",1216,295
242,Retail,Dammam,"$22,647.00 ",978,"$13,792.00 ","$2,915.00 ",4482,5778
243,Hotels,Khobar,$255.00 ,576,"$5,923.00 ",$349.00 ,4595,1328
244,Hotels,Khobar,$190.00 ,73,"$2,012.00 ",$245.00 ,184,127
245,Retail,Dammam,"$1,020.00 ",882,"$12,121.00 ",$134.00 ,4508,1080
246,,,$894.00 ,170,"$1,841.00 ",$744.00 ,759,1153
247,Export,Dhahran,"$6,338.00 ",226,"$1,668.00 ","$1,492.00 ",311,686
248,Retail,Riyadh,"$2,790.00 ",253,"$5,265.00 ","$5,612.00 ",788,1360
249,Retail,Khobar,$23.00 ,262,"$8,118.00 ",$145.00 ,3874,217
250,Retail,Riyadh,"$2,362.00 ",655,"$11,364.00 ",$913.00 ,5957,791
251,Hotels,Dhahran,"$9,898.00 ",96,"$2,861.00 ","$3,151.00 ",242,833
252,Hotels,Khobar,"$6,211.00 ",34,$683.00 ,"$1,089.00 ",41,296
253,Hotels,Dhahran,"$29,703.00 ",1205,"$16,027.00 ","$13,135.00 ",182,2204
254,Hotels,Dhahran,"$28,257.00 ",94,"$2,146.00 ","$3,881.00 ",600,270
255,Hotels,Makkah,"$21,273.00 ",201,"$6,550.00 ",$909.00 ,811,1854
256,Retail,Madinah,"$8,565.00 ",498,"$67,298.00 ",$131.00 ,38102,1215
257,Hotels,Dammam,"$4,020.00 ",323,"$1,498.00 ","$2,395.00 ",264,255
258,Hotels,Dhahran,"$9,612.00 ",58,$935.00 ,"$1,601.00 ",469,375
259,Retail,Khobar,"$22,615.00 ",541,"$7,198.00 ","$3,915.00 ",1777,5185
260,Hotels,Dhahran,"$17,023.00 ",514,"$5,230.00 ","$7,888.00 ",330,1755
261,Retail,Khobar,"$9,396.00 ",1160,"$15,775.00 ","$2,896.00 ",7677,1295
262,Hotels,Khobar,"$5,876.00 ",616,"$2,933.00 ",$839.00 ,370,4478
263,Hotels,Hail,"$15,603.00 ",270,"$3,833.00 ","$4,260.00 ",325,2563
264,Hotels,Dhahran,"$8,607.00 ",175,"$3,580.00 ",$47.00 ,84,2501
265,Hotels,Khobar,"$4,446.00 ",91,"$1,238.00 ","$3,576.00 ",153,1014
266,Retail,Makkah,"$3,996.00 ",1110,"$12,469.00 ",$902.00 ,5952,741
267,Retail,Riyadh,"$1,073.00 ",968,"$15,445.00 ",$61.00 ,5980,1265
268,Retail,Khobar,$85.00 ,2096,"$45,828.00 ",$36.00 ,24231,1423
269,Hotels,Dhahran,"$13,265.00 ",120,"$4,221.00 ","$6,404.00 ",507,1788
270,Hotels,Dammam,"$3,097.00 ",423,"$16,483.00 ",$575.00 ,241,2080
271,Hotels,Dammam,$503.00 ,11,$778.00 ,$895.00 ,56,132
272,Hotels,Khobar,"$3,477.00 ",89,$534.00 ,"$1,457.00 ",252,342
273,Hotels,Hail,$583.00 ,69,"$2,216.00 ",$469.00 ,954,18
274,Retail,Dammam,$355.00 ,770,"$14,682.00 ",$398.00 ,8077,303
275,Hotels,Dhahran,"$18,073.00 ",461,"$3,444.00 ","$4,324.00 ",914,715
276,Retail,Dhahran,$491.00 ,1047,"$11,532.00 ",$744.00 ,5611,224
277,Hotels,Riyadh,"$18,044.00 ",148,"$2,046.00 ","$2,532.00 ",130,1158
278,Hotels,Dammam,"$42,312.00 ",93,"$1,510.00 ","$1,718.00 ",410,1819
279,,,"$11,693.00 ",232,"$2,543.00 ","$5,845.00 ",274,1409
280,Retail,Makkah,"$16,448.00 ",624,"$6,360.00 ",$824.00 ,2662,2005
281,Retail,Dhahran,"$8,590.00 ",305,"$7,854.00 ",$96.00 ,4095,225
282,,,"$27,901.00 ",375,"$6,964.00 ","$4,479.00 ",603,2503
283,,,"$2,612.00 ",434,"$3,133.00 ","$2,088.00 ",820,985
284,Hotels,Dammam,"$2,615.00 ",87,"$1,524.00 ","$1,103.00 ",514,468
285,Hotels,Dammam,"$6,633.00 ",210,"$4,563.00 ","$1,389.00 ",1860,1892
286,Hotels,Khobar,"$16,705.00 ",204,"$3,202.00 ","$10,643.00 ",116,1365
287,Hotels,Dhahran,"$43,265.00 ",503,"$8,117.00 ","$6,312.00 ",1579,14351
288,Retail,Dhahran,"$1,454.00 ",634,"$10,704.00 ",$133.00 ,6830,1831
289,Hotels,Makkah,"$10,617.00 ",180,"$7,647.00 ","$1,483.00 ",857,1233
290,Hotels,Dammam,"$1,821.00 ",136,"$3,450.00 ","$4,006.00 ",397,361
291,Hotels,Dammam,$3.00 ,292,"$6,252.00 ",$440.00 ,223,709
292,Hotels,Khobar,"$2,126.00 ",329,"$3,281.00 ","$1,535.00 ",235,4365
293,Retail,Dammam,"$2,343.00 ",785,"$11,874.00 ",$52.00 ,4196,1697
294,Hotels,Dhahran,"$4,760.00 ",123,"$3,250.00 ","$3,724.00 ",1247,1145
295,Hotels,Dammam,"$3,347.00 ",405,"$6,996.00 ",$239.00 ,1538,301
296,Hotels,Khobar,"$3,884.00 ",380,"$1,641.00 ",$876.00 ,397,4829
297,Hotels,Tabuk,"$19,087.00 ",130,"$3,643.00 ","$3,045.00 ",710,898
298,Hotels,Dammam,"$7,769.00 ",194,"$2,177.00 ",$926.00 ,73,520
299,Hotels,Khobar,"$11,405.00 ",60,"$1,638.00 ","$3,347.00 ",69,360
300,,,"$18,815.00 ",361,"$11,107.00 ","$1,148.00 ",2134,2963
301,Hotels,Dhahran,"$5,841.00 ",145,"$1,162.00 ",$597.00 ,476,70
